window,id,circadian,color,frame,occupant,treatment,objects,signage,notable,special,master
window-0001,w-001,AWAKE,amber,double-hung,,,ceiling fixture|air conditioner|framed art|figurine,,A leaping rabbit figurine silhouetted on the sill beneath two glowing lamps.,,WINDOWSTACK2026_1_115_layers_0001_windows-00816.png
window-0002,w-002,AWAKE,blue,double-hung,,,neon sign|signage,,A glowing blue neon rain cloud hangs in an otherwise dark double-hung window.,,WINDOWSTACK2026_1_115_layers_0002_windows-00815.png
window-0003,w-004,AWAKE,amber,double-hung,,sheer curtains,plants|flowers,,A flowering geranium silhouetted against a glowing amber curtain in a double-hung window.,,WINDOWSTACK2026_1_115_layers_0004_windows-00814.png
window-0004,w-007,AWAKE,white,double-hung,,roller shade,,,A double-hung window covered with a blue floral patterned shade in a dark wood frame.,yes,WINDOWSTACK2026_1_115_layers_0007_windows-00814-2.png
window-0005,w-009,AWAKE,orange,double-hung,,,clock|framed art,,A warm peach-toned interior with a round wall clock and framed picture glimpsed through bare glass.,,WINDOWSTACK2026_1_115_layers_0009_windows-00812.png
window-0006,w-010,AWAKE,amber,double-hung,,frosted glass,,,A warm amber glow filters through frosted glass with a faint floral pattern in the lower pane.,,WINDOWSTACK2026_1_115_layers_0010_windows-00811.png
window-0007,w-013,AWAKE,orange,double-hung,,curtains,string lights,,"A row of warm bulbs glows above orange curtains, casting a deep amber warmth through the double-hung frame.",,WINDOWSTACK2026_1_115_layers_0013_windows-00806.png
window-0008,w-014,AWAKE,amber,double-hung,,security,figurine,,Star decals on upper glass and a small figure silhouette glow against a warm amber interior behind security bars.,,WINDOWSTACK2026_1_115_layers_0014_windows-00801.png
window-0009,w-015,ASLEEP,brown,double-hung,,,air conditioner|flag,,An American flag hangs in the dim upper pane above a window air conditioner.,,WINDOWSTACK2026_1_115_layers_0015_windows-00799.png
window-0010,w-017,AWAKE,red,double-hung,,curtains,,,A deep red glow behind drawn curtains fills a stark black-framed double-hung window.,,WINDOWSTACK2026_1_115_layers_0017_windows-00799-2.png
window-0011,w-019,ASLEEP,black,double-hung,,curtains|venetian blinds,,,A mostly dark window with eerie red light glowing through the slats of the lower blinds.,,WINDOWSTACK2026_1_115_layers_0019_windows-00798-2.png
window-0012,w-020,AWAKE,brown,double-hung,,curtains,poster,,"A makeshift fabric curtain with grommets hangs behind a barred lower sash, glowing warm amber.",,WINDOWSTACK2026_1_115_layers_0020_windows-00797.png
window-0013,w-021,AWAKE,blue,double-hung,,curtains,,,An intense electric-blue glow saturates the curtained pane above a dark wire rack on the sill.,,WINDOWSTACK2026_1_115_layers_0021_windows-00796.png
window-0014,w-024,ASLEEP,gray,double-hung,,roller shade,roller shade,,A pale ghostly arched form glows faintly through the misted upper pane above a darkened lower half.,,WINDOWSTACK2026_1_115_layers_0024_windows-00794-2.png
window-0015,w-025,ASLEEP,brown,paned grid,,security,,,A grid-paned industrial window behind protective wire mesh set in a brick wall.,,WINDOWSTACK2026_1_115_layers_0025_windows-00793.png
