Window,daves name,circadian,color,frame,occupant,treatment,objects,signage,notable,special
window-1,window-0893,awake,amber,double-hung,none,none,plants,none,silhouetted plants and a macrame hanger glow against a deep amber backlit interior.,no
window-2,window-0249,awake,white,double-hung,none,none,none,none,strings of colorful tibetan prayer flags hang across the upper pane of the window.,no
window-3,window-0912,awake,amber,double-hung,none,venetian blinds,plants,none,a potted plant sits on the sill below half-drawn venetian blinds bathed in warm amber light.,no
window-4,window-0040,awake,amber,double-hung,none,none,lamp|plants,none,a bare bulb radiates warm starburst light above a windowsill spider plant.,no
window-5,window-0268,awake,amber,paned grid,none,frosted glass,air conditioner|signage,frigidaire,textured amber frosted glass glows above a frigidaire window air conditioner.,no
window-6,window-0072,awake,amber,other,none,roller shade,plants,none,silhouetted potted plants line the sill below a glowing amber roller shade.,no
window-7,window-0910,awake,orange,double-hung,ghoul,roller shade,plants,none,a pumpkin and a glowing lamp sit on the sill beneath a red-and-amber shaded upper pane.,no
window-8,window-0718,awake,amber,double-hung,cat,curtains,none,none,a cat sits in silhouette on a window perch against a glowing amber backdrop.,yes
window-9,window-0338,awake,orange,double-hung,none,roller shade,plants,none,silhouetted potted plants and a hanging planter glow against a deep amber-orange interior.,no
window-10,window-0399,awake,amber,paned grid,none,none,lamp|plants,none,a fringed lampshade and a leafy potted plant silhouetted against a glowing amber interior.,no
window-11,window-0968,awake,amber,storefront,none,none,figurine|vase,none,a warmly lit display case crammed with curious ceramic figures and a wigged mannequin head.,no
window-12,window-0492,awake,black,double-hung,none,none,none,none,a mostly dark double-hung window beside a narrow vertical pane glowing warm amber.,no
window-13,window-0314,awake,amber,double-hung,none,roller shade,plants,none,a silhouetted potted plant sits behind the lower pane while a drawn shade glows amber above.,no
window-14,window-0852,awake,amber,paned grid,none,lace curtains,plants,none,a silhouetted leafy plant and patterned lace curtains glow in deep amber across stacked panes.,no
window-15,window-0914,awake,amber,paned grid,none,sheer curtains,sign|signage,ola,a warm amber-lit window with sheer curtains and a vintage coca-cola sign visible inside.,no
window-16,window-0702,awake,white,double-hung,none,sheer curtains|security,plants,none,floral-print sheer curtains glow behind a black security grille on the lower sash.,no
window-17,window-0855,awake,orange,casement,none,frosted glass,none,none,condensation-covered glass split between warm peach and cool blue tones.,no
window-18,window-0591,awake,amber,double-hung,none,none,open sign|neon sign|signage,open,"an illuminated led ""open"" sign glows above stacked food containers in a shop window.",no
window-19,window-0312,awake,amber,double-hung,none,pleated shade,none,none,amber pleated shades glow with mysterious dark shadow shapes pressing against the glass.,no
window-20,window-0253,awake,amber,paned grid,dog,roller shade,none,none,a dog peers out from the bottom corner of an amber-glowing shaded window.,no
window-21,window-0193,awake,brown,double-hung,cat,roller shade,none,none,amber light leaks through a lowered shade above a decorative greek-key tiled sill.,no
window-22,window-0102,awake,white,double-hung,none,curtains,none,none,a softly lit curtained double-hung window with a dark angular object resting on the lower sill.,no
window-23,window-0336,awake,amber,double-hung,none,stained glass,lamp,none,colorful stained-glass suncatchers including a rainbow glow against an amber-lit interior.,no
window-24,window-0548,awake,brown,double-hung,none,sheer curtains,chandelier|plants,none,a warm chandelier glows above sheer curtains framing a delicate plant silhouette streaked with red light.,no
window-25,window-0989,asleep,brown,double-hung,none,none,plants,none,a trailing hanging plant cascades down across the center of a bare wooden double-hung window.,no
window-26,window-0926,awake,blue,paned grid,none,security,none,none,a wire-mesh security gate over a paned window covered in scrawled graffiti tags glowing cool blue.,no
window-27,window-0625,awake,amber,double-hung,none,roller shade,sign|signage,smking steak,"a glowing amber window with an illuminated light-up letter sign reading ""smking steak"".",no
window-28,window-0953,awake,amber,double-hung,none,curtains,flowers|vase|plants,none,a vase of white lilies silhouetted against a glowing amber interior.,no
window-29,window-0991,awake,amber,other,none,security,none,none,"a heavy security gate with ornate iron scrollwork covers a warm amber-glowing doorway, casting strong vertical bar shadows.",no
window-30,window-0311,awake,brown,double-hung,none,sheer curtains,plants,none,a silhouetted hanging plant glows against warm sheer curtains in a darkened double-hung window.,no
window-31,window-0020,awake,brown,double-hung,none,sheer curtains,lamp|plants,none,a glowing lamp and tangled plant silhouette press against gauzy curtains in warm amber light.,no
window-32,window-0432,awake,amber,glass block,none,none,none,none,"a grid of amber-glowing glass blocks framed in black, with a warm light source concentrated near the lower center.",no
window-33,window-0422,awake,gray,double-hung,none,roller shade|security,holiday decoration,none,"a decorated christmas tree pressed against a frosted, dimly glowing window.",no
window-34,window-0553,awake,black,double-hung,none,curtains,lamp|plants,none,"a warm amber glow leaks from behind curtains in the lower sash, with a plant silhouette beside a lamp.",no
